what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1368382909463
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1368382909464
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1368382909464
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1368382909465
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1368382909465
os,sysinfo,,,"win32",1368382909468
arch,sysinfo,,,"x86_64",1368382909468
ws,sysinfo,,,"win32",1368382909469
locale,sysinfo,,,"en_US",1368382909469
processors,sysinfo,,,"8",1368382909469
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368382909469
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1368382909469
java.specification.name,sysinfo,,,"Java Platform API Specification",1368382909469
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368382909469
java.specification.version,sysinfo,,,"1.7",1368382909469
java.vendor,sysinfo,,,"Oracle Corporation",1368382909469
java.version,sysinfo,,,"1.7.0_09",1368382909469
java.vm.info,sysinfo,,,"mixed mode",1368382909469
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1368382909469
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368382909469
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368382909469
java.vm.specification.version,sysinfo,,,"1.7",1368382909469
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368382909469
java.vm.version,sysinfo,,,"23.5-b02",1368382909469
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1368382909572
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1368382909576
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1368382913396
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368382915715
error,log,,,"Invalid preference page path: XML Syntax",1368382916371
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1368382916746
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1368382920736
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1368382921752
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1368382921949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382924348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382928270
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368382930068
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1368382930230
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1368382930263
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1368382930288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382930308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382945715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368382945804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368382947837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1368382952412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382957680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382960784
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1368382960791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368382961081
