what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1366830397788
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366830397788
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1366830397788
java.specification.name,sysinfo,,,"Java Platform API Specification",1366830397788
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366830397788
java.specification.version,sysinfo,,,"1.7",1366830397788
java.vendor,sysinfo,,,"Oracle Corporation",1366830397788
java.version,sysinfo,,,"1.7.0_09",1366830397788
java.vm.info,sysinfo,,,"mixed mode",1366830397788
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366830397788
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366830397788
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366830397788
java.vm.specification.version,sysinfo,,,"1.7",1366830397788
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366830397788
java.vm.version,sysinfo,,,"23.5-b02",1366830397788
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1366830398645
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1366830398925
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1366830398967
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1366830398968
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366830399129
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1366830405630
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1366830406236
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366830407502
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1366830409257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366830934724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366830938250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366834964776
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366834978199
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834985321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834985427
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366834989082
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834989277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834989397
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366834994683
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834999291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366834999402
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366835152506
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366835152744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366835152846
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1366835152904
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1366835286275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366835286350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366835291211
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366835300258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366835744978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366836000140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366836012810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366837267545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366838167719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366838167736
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1368148432553
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1368148432554
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1368148432554
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1368148432555
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1368148432555
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1368148432556
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1368148432557
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1368148432557
